DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,ZOOM2020
DEVICE SIGNALS,DEVICE SIGNALS,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
DEVICE SIGNALS,DEVICE SIGNALS,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
DEVICE SIGNALS,DEVICE SIGNALS,PROVIDE SERVICES,OPERATIONS,ZOOM
DEVICE SIGNALS,DEVICE SIGNALS,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
DEVICE SIGNALS,DEVICE SIGNALS,THIRD PARTY,THIRD PARTY,ZOOM
FEATURES USE,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
FEATURES USE,PRODUCT USE,ADVERTISING,ADVERTISING,ZOOM
FEATURES USE,PRODUCT USE,ANALYTICS,ANALYTICS,ZOOM
FEATURES USE,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,ZOOM
FEATURES USE,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,ZOOM
FEATURES USE,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,ZOOM
FEATURES USE,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
FEATURES USE,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
FEATURES USE,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
FEATURES USE,PRODUCT USE,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
FEATURES USE,PRODUCT USE,PROVIDE SERVICES,OPERATIONS,ZOOM
FEATURES USE,PRODUCT USE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
FEATURES USE,PRODUCT USE,THIRD PARTY,THIRD PARTY,ZOOM
FILE INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
FILE INFORMATION,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
FILE INFORMATION,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,ZOOM
FILE INFORMATION,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
IP ADDRESS,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
IP ADDRESS,DEVICE INFO,ADVERTISING,ADVERTISING,ZOOM
IP ADDRESS,DEVICE INFO,ANALYTICS,ANALYTICS,ZOOM
IP ADDRESS,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,ZOOM
IP ADDRESS,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,ZOOM
IP ADDRESS,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,ZOOM
IP ADDRESS,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
IP ADDRESS,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
IP ADDRESS,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
IP ADDRESS,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,ZOOM
IP ADDRESS,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
IP ADDRESS,DEVICE INFO,THIRD PARTY,THIRD PARTY,ZOOM
LOGIN INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,ZOOM
LOGIN INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,ZOOM
LOGIN INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
LOGIN INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,ZOOM
LOGIN INFORMATION,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,ZOOM
LOGIN INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
LOGIN INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
LOGIN INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
LOGIN INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
LOGIN INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
NAME,PERSONAL DATA,ADVERTISING,ADVERTISING,ZOOM
NAME,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,ZOOM
NAME,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
NAME,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,ZOOM
NAME,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,ZOOM
NAME,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
NAME,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
